plantID	tillerID	leafID	position	extraID	x1	y1	z1	x2	y2	z2	x3	y3	z3	NpArea	Kt	Kr	facetS	6h_up_dir	6h_up_dff	6h_up_scat	6h_bottom_dir	6h_bottom_dff	6h_bottom_scat	6h_totalPPFD	
1	1.00	0.00	3.00	0.00	4.83	-0.27	2.34	4.83	0.00	2.18	5.80	-0.27	2.34	0.45	0.0000	0.0780	0.1532	0.00	0.00	162.14	0.00	0.00	0.00	162.14	
1	1.00	0.00	3.00	0.00	4.83	0.00	2.18	5.80	-0.27	2.34	5.80	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	200.12	200.12	
1	1.00	0.00	3.00	0.00	5.80	0.00	2.18	5.80	0.27	2.34	6.77	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	168.40	0.00	0.00	0.00	168.40	
1	1.00	0.00	3.00	0.00	5.80	0.27	2.34	6.77	0.00	2.18	6.77	0.27	2.34	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	182.58	182.58	
1	1.00	0.00	3.00	0.00	5.80	0.27	2.34	5.80	0.27	2.66	6.77	0.27	2.34	0.45	0.0000	0.0780	0.1528	0.00	30.17	209.87	0.00	0.00	0.00	240.04	
1	1.00	0.00	3.00	0.00	5.80	0.27	2.66	6.77	0.27	2.34	6.77	0.27	2.66	0.45	0.0000	0.0780	0.1528	0.00	0.00	0.00	0.00	15.09	199.70	214.78	
1	1.00	0.00	3.00	0.00	5.80	0.27	2.66	5.80	0.00	2.82	6.77	0.27	2.66	0.45	0.0000	0.0780	0.1532	0.00	376.22	141.41	0.00	0.00	0.00	517.63	
1	1.00	0.00	3.00	0.00	5.80	0.00	2.82	6.77	0.27	2.66	6.77	0.00	2.82	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	391.27	190.10	581.37	
1	1.00	0.00	3.00	0.00	5.80	0.00	2.82	5.80	-0.27	2.66	6.77	0.00	2.82	0.45	0.0000	0.0780	0.1532	0.00	285.93	130.39	0.00	0.00	0.00	416.31	
1	1.00	0.00	3.00	0.00	5.80	-0.27	2.66	6.77	0.00	2.82	6.77	-0.27	2.66	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	331.07	181.30	512.37	
1	1.00	0.00	3.00	0.00	5.80	-0.27	2.66	5.80	-0.27	2.34	6.77	-0.27	2.66	0.45	0.0000	0.0780	0.1528	0.00	45.26	198.22	0.00	0.00	0.00	243.48	
1	1.00	0.00	3.00	0.00	5.80	-0.27	2.34	6.77	-0.27	2.66	6.77	-0.27	2.34	0.45	0.0000	0.0780	0.1528	0.00	0.00	0.00	0.00	45.26	205.43	250.69	
1	1.00	0.00	3.00	0.00	5.80	-0.27	2.34	5.80	0.00	2.18	6.77	-0.27	2.34	0.45	0.0000	0.0780	0.1532	0.00	0.00	224.64	0.00	0.00	0.00	224.64	
1	1.00	0.00	3.00	0.00	5.80	0.00	2.18	6.77	-0.27	2.34	6.77	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	186.90	186.90	
1	1.00	0.00	3.00	0.00	6.77	0.00	2.18	6.77	0.27	2.34	7.73	0.00	2.18	0.45	0.0000	0.0780	0.1530	0.00	0.00	197.31	0.00	0.00	0.00	197.31	
1	1.00	0.00	3.00	0.00	6.77	0.27	2.34	7.73	0.00	2.18	7.73	0.27	2.34	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	0.00	221.66	221.66	
1	1.00	0.00	3.00	0.00	6.77	0.27	2.34	6.77	0.27	2.66	7.73	0.27	2.34	0.45	0.0000	0.0780	0.1526	0.00	15.10	215.04	0.00	0.00	0.00	230.14	
1	1.00	0.00	3.00	0.00	6.77	0.27	2.66	7.73	0.27	2.34	7.73	0.27	2.66	0.45	0.0000	0.0780	0.1526	0.00	0.00	0.00	0.00	15.10	233.56	248.66	
1	1.00	0.00	3.00	0.00	6.77	0.27	2.66	6.77	0.00	2.82	7.73	0.27	2.66	0.45	0.0000	0.0780	0.1530	0.00	361.54	150.99	0.00	0.00	0.00	512.53	
1	1.00	0.00	3.00	0.00	6.77	0.00	2.82	7.73	0.27	2.66	7.73	0.00	2.82	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	316.35	178.24	494.59	
1	1.00	0.00	3.00	0.00	6.77	0.00	2.82	6.77	-0.27	2.66	7.73	0.00	2.82	0.45	0.0000	0.0780	0.1530	0.00	225.97	123.24	0.00	0.00	0.00	349.21	
1	1.00	0.00	3.00	0.00	6.77	-0.27	2.66	7.73	0.00	2.82	7.73	-0.27	2.66	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	361.54	126.96	488.51	
1	1.00	0.00	3.00	0.00	6.77	-0.27	2.66	6.77	-0.27	2.34	7.73	-0.27	2.66	0.45	0.0000	0.0780	0.1526	0.00	30.20	229.10	0.00	0.00	0.00	259.31	
1	1.00	0.00	3.00	0.00	6.77	-0.27	2.34	7.73	-0.27	2.66	7.73	-0.27	2.34	0.45	0.0000	0.0780	0.1526	0.00	0.00	0.00	0.00	15.10	245.22	260.32	
1	1.00	0.00	3.00	0.00	6.77	-0.27	2.34	6.77	0.00	2.18	7.73	-0.27	2.34	0.45	0.0000	0.0780	0.1530	0.00	0.00	180.83	0.00	0.00	0.00	180.83	
1	1.00	0.00	3.00	0.00	6.77	0.00	2.18	7.73	-0.27	2.34	7.73	0.00	2.18	0.45	0.0000	0.0780	0.1530	0.00	0.00	0.00	0.00	0.00	156.96	156.96	
1	1.00	0.00	3.00	0.00	7.73	0.00	2.18	7.73	0.27	2.34	8.70	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	193.08	0.00	0.00	0.00	193.08	
1	1.00	0.00	3.00	0.00	7.73	0.27	2.34	8.70	0.00	2.18	8.70	0.27	2.34	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	189.07	189.07	
1	1.00	0.00	3.00	0.00	7.73	0.27	2.34	7.73	0.27	2.66	8.70	0.27	2.34	0.45	0.0000	0.0780	0.1528	0.00	105.61	240.82	0.00	0.00	0.00	346.42	
1	1.00	0.00	3.00	0.00	7.73	0.27	2.66	8.70	0.27	2.34	8.70	0.27	2.66	0.45	0.0000	0.0780	0.1528	0.00	0.00	0.00	0.00	15.09	200.73	215.82	
1	1.00	0.00	3.00	0.00	7.73	0.27	2.66	7.73	0.00	2.82	8.70	0.27	2.66	0.45	0.0000	0.0780	0.1532	0.00	316.02	171.16	0.00	0.00	0.00	487.18	
1	1.00	0.00	3.00	0.00	7.73	0.00	2.82	8.70	0.27	2.66	8.70	0.00	2.82	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	466.51	149.10	615.61	
1	1.00	0.00	3.00	0.00	7.73	0.00	2.82	7.73	-0.27	2.66	8.70	0.00	2.82	0.45	0.0000	0.0780	0.1532	0.00	346.12	162.45	0.00	0.00	0.00	508.57	
1	1.00	0.00	3.00	0.00	7.73	-0.27	2.66	8.70	0.00	2.82	8.70	-0.27	2.66	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	406.32	158.86	565.17	
1	1.00	0.00	3.00	0.00	7.73	-0.27	2.66	7.73	-0.27	2.34	8.70	-0.27	2.66	0.45	0.0000	0.0780	0.1528	0.00	60.35	204.52	0.00	0.00	0.00	264.87	
1	1.00	0.00	3.00	0.00	7.73	-0.27	2.34	8.70	-0.27	2.66	8.70	-0.27	2.34	0.45	0.0000	0.0780	0.1528	0.00	0.00	0.00	0.00	60.35	277.03	337.38	
1	1.00	0.00	3.00	0.00	7.73	-0.27	2.34	7.73	0.00	2.18	8.70	-0.27	2.34	0.45	0.0000	0.0780	0.1532	0.00	0.00	200.35	0.00	0.00	0.00	200.35	
1	1.00	0.00	3.00	0.00	7.73	0.00	2.18	8.70	-0.27	2.34	8.70	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	177.28	177.28	
1	1.00	0.00	3.00	0.00	8.70	0.00	2.18	8.70	0.27	2.34	9.67	0.00	2.18	0.45	0.0000	0.0780	0.1532	0.00	0.00	193.11	0.00	0.00	0.00	193.11	
1	1.00	0.00	3.00	0.00	8.70	0.27	2.34	9.67	0.00	2.18	9.67	0.27	2.34	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	0.00	213.42	213.42	
1	1.00	0.00	3.00	0.00	8.70	0.27	2.34	8.70	0.27	2.66	9.67	0.27	2.34	0.45	0.0000	0.0780	0.1528	0.00	30.17	245.31	0.00	0.00	0.00	275.48	
1	1.00	0.00	3.00	0.00	8.70	0.27	2.66	9.67	0.27	2.34	9.67	0.27	2.66	0.45	0.0000	0.0780	0.1528	0.00	0.00	0.00	0.00	75.43	270.16	345.59	
1	1.00	0.00	3.00	0.00	8.70	0.27	2.66	8.70	0.00	2.82	9.67	0.27	2.66	0.45	0.0000	0.0780	0.1532	0.00	406.32	128.08	0.00	0.00	0.00	534.39	
1	1.00	0.00	3.00	0.00	8.70	0.00	2.82	9.67	0.27	2.66	9.67	0.00	2.82	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	300.98	146.34	447.31	
1	1.00	0.00	3.00	0.00	8.70	0.00	2.82	8.70	-0.27	2.66	9.67	0.00	2.82	0.45	0.0000	0.0780	0.1532	0.00	406.32	134.91	0.00	0.00	0.00	541.23	
1	1.00	0.00	3.00	0.00	8.70	-0.27	2.66	9.67	0.00	2.82	9.67	-0.27	2.66	0.45	0.0000	0.0780	0.1532	0.00	0.00	0.00	0.00	346.12	181.90	528.02	
